emb1	emb2	ind	subcluster	region
10.9954	3.5723	ind_88	fs1_3	wNCFrance
10.9689	4.3320	ind_108	fs3_6	britishIsles2
11.0409	4.0581	ind_139	fs3_6	britishIsles2
10.6992	2.5004	ind_159	fs1_1	wNCFrance
15.6482	2.3199	ind_265	fs16_7	olandGotland
11.1401	2.6226	ind_350	fs1_1	wNCFrance
10.8637	2.8205	ind_351	fs1_1	wNCFrance
15.7310	-2.8914	ind_403	fs18_5	cEuropeBaltic
15.6859	-2.7008	ind_410	fs18_5	cEuropeBaltic
16.4908	-3.0806	ind_424	fs18_5	cEuropeBaltic
15.3442	-3.0886	ind_428	fs18_5	cEuropeBaltic
14.8523	-1.2481	ind_430	fs18_3	cEuropeBaltic
12.3673	12.1528	ind_470	USA	USA
12.2665	11.9190	ind_476	USA	USA
12.3756	11.7486	ind_484	USA	USA
12.9056	11.5863	ind_504	USA	USA
12.1440	12.2893	ind_506	USA	USA
12.7120	11.6263	ind_531	USA	USA
13.0465	11.0932	ind_544	USA	USA
13.0551	11.4670	ind_546	USA	USA
13.2834	11.8760	ind_680	USA	USA
13.4648	11.9349	ind_681	USA	USA
13.3146	11.4268	ind_685	USA	USA
12.5307	11.2110	ind_687	USA	USA
11.3580	12.1641	ind_728	USA	USA
11.4009	12.3959	ind_742	USA	USA
11.5888	-4.3625	ind_763	fs6_12	russiaAsia
11.6189	-4.4445	ind_765	fs6_12	russiaAsia
11.4566	-4.6590	ind_766	fs6_12	russiaAsia
11.0537	-4.3825	ind_768	fs6_12	russiaAsia
11.1638	-4.8169	ind_772	fs6_12	russiaAsia
14.3693	12.7914	ind_853	USA	USA
14.6828	10.9765	ind_854	USA	USA
14.5548	10.9512	ind_867	USA	USA
14.8123	11.4445	ind_868	USA	USA
16.0149	1.6953	ind_991	fs15_3	olandGotland
16.2064	1.5365	ind_992	fs15_3	olandGotland
16.0986	1.5621	ind_997	fs15_2	olandGotland
16.1678	1.4403	ind_1002	fs15_3	olandGotland
16.1690	1.8495	ind_1006	fs15_3	olandGotland
15.6599	1.1853	ind_1061	fs15_15	nE_EScania
19.3346	3.3053	ind_1062	fs14_3	westScania
15.7919	3.1598	ind_1063	fs15_17	nE_EScania
15.5102	1.1678	ind_1070	fs15_16	olandGotland
15.0541	1.2003	ind_1158	fs15_10	olandGotland
15.5160	1.1780	ind_1166	fs15_10	olandGotland
17.1632	0.9015	ind_1254	fs5_3	northSweden
16.9871	1.1779	ind_1313	fs5_4	northSweden
17.0320	1.1505	ind_1317	fs5_4	northSweden
14.6728	12.7678	ind_1612	USA	USA
14.8037	11.0447	ind_1622	USA	USA
13.4167	11.6531	ind_1651	USA	USA
13.2202	11.1976	ind_1652	USA	USA
13.2343	11.1475	ind_1676	USA	USA
13.1806	12.3366	ind_1684	USA	USA
13.5985	11.6041	ind_1739	USA	USA
13.6509	11.4086	ind_1741	USA	USA
13.2469	12.3533	ind_1756	USA	USA
13.0893	12.2153	ind_1757	USA	USA
12.7560	11.5334	ind_1793	USA	USA
13.0830	11.9596	ind_1797	USA	USA
14.3473	11.3152	ind_1819	USA	USA
14.6025	12.7645	ind_1820	USA	USA
12.8056	12.4416	ind_1834	USA	USA
13.6919	9.9928	ind_1835	USA	USA
13.5274	10.2574	ind_1851	USA	USA
13.1220	9.3021	ind_1852	USA	USA
11.4781	11.9589	ind_1942	USA	USA
11.6480	11.8121	ind_1943	USA	USA
13.2564	13.2360	ind_2017	USA	USA
13.5118	13.0863	ind_2031	USA	USA
13.3881	13.1796	ind_2053	USA	USA
11.7972	11.3364	ind_2081	USA	USA
11.8527	11.3042	ind_2091	USA	USA
11.6048	12.3170	ind_2106	USA	USA
11.3575	12.1506	ind_2108	USA	USA
11.6013	11.9178	ind_2141	USA	USA
13.5799	12.8183	ind_2159	USA	USA
12.8540	11.4632	ind_2166	USA	USA
12.8212	11.9142	ind_2191	USA	USA
13.3835	-1.4812	ind_2202	USA	USA
13.6280	11.7864	ind_2212	USA	USA
13.0136	12.2295	ind_2239	USA	USA
13.0138	11.6898	ind_2240	USA	USA
12.2683	7.0456	ind_2276	USA	USA
11.8858	11.8157	ind_2285	USA	USA
11.7999	12.1994	ind_2286	USA	USA
13.4569	12.9738	ind_2370	USA	USA
14.2201	10.9826	ind_2412	USA	USA
11.2199	4.1767	ind_4807	fs3_5	britishIsles2
10.8451	5.4023	ind_4826	fs3_13	uFranceEFranceBIsles
10.1345	5.1089	ind_4840	fs4_3	britishIsles1
-4.5410	-0.5931	ind_4857	fs3_9	nWEngland
10.1018	5.7953	ind_4884	fs4_3	britishIsles1
9.4928	5.5940	ind_4900	fs4_4	britishIsles1
8.7277	6.3294	ind_4939	fs4_5	britishIsles1
11.6327	4.5858	ind_4958	fs3_5	britishIsles2
9.7306	5.8631	ind_5023	fs4_3	britishIsles1
13.7462	1.4648	ind_5104	fs16_12	nGermany
12.9595	4.5867	ind_5151	fs3_2	britishIsles2
13.4006	4.0598	ind_5165	fs3_3	britishIsles2
12.1323	4.0127	ind_5210	fs1_3	wNCFrance
8.7654	6.2636	ind_5236	fs4_5	britishIsles1
-4.3786	-0.4305	ind_5249	fs3_9	nWEngland
9.9606	5.6761	ind_5253	fs4_2	britishIsles1
9.6186	5.4418	ind_5276	fs4_8	britishIsles1
11.0815	5.7615	ind_5279	fs3_12	uFranceEFranceBIsles
12.3368	4.4415	ind_5349	fs3_3	britishIsles2
8.8058	5.8744	ind_5353	USA	USA
-4.4837	-0.5357	ind_5395	USA	USA
13.5432	1.6965	ind_5486	fs16_12	nGermany
9.3776	5.7138	ind_5577	fs4_6	britishIsles1
11.3449	4.7295	ind_5644	fs3_1	britishIsles2
-4.3378	-0.3898	ind_5651	fs3_9	nWEngland
-4.2745	-0.3264	ind_5717	fs3_9	nWEngland
-4.1899	-0.2420	ind_5718	fs3_9	nWEngland
15.0391	2.5802	ind_5720	fs16_8	nGermany
10.1425	5.3026	ind_5726	fs4_4	britishIsles1
12.6391	4.2989	ind_5741	fs3_2	britishIsles2
13.7450	2.9825	ind_5748	fs16_4	nGermany
14.7278	1.9404	ind_5757	fs15_1	olandGotland
10.1624	2.4737	ind_5772	fs16_14	sGermany
-4.2438	-0.2959	ind_5776	fs3_9	nWEngland
11.5228	3.9297	ind_5779	fs3_5	britishIsles2
8.6658	6.1159	ind_5798	fs4_5	britishIsles1
12.9976	3.0092	ind_5800	fs16_1	nGermany
12.2803	4.1907	ind_5811	fs3_3	britishIsles2
15.5653	2.3764	ind_5822	fs16_7	olandGotland
14.5364	0.8769	ind_5830	fs15_5	olandGotland
15.7211	0.7918	ind_5831	fs15_5	olandGotland
15.9446	2.0344	ind_5832	fs15_5	olandGotland
15.2615	-3.0029	ind_5837	fs18_5	cEuropeBaltic
19.3532	-0.2657	ind_5856	fs5_9	northSweden
16.0990	0.0640	ind_5865	fs15_14	olandGotland
16.2996	-0.5507	ind_5867	fs15_14	olandGotland
16.3286	-3.0430	ind_5874	fs18_5	cEuropeBaltic
16.2587	-3.3284	ind_5890	fs18_5	cEuropeBaltic
16.2953	-3.7021	ind_5893	fs18_5	cEuropeBaltic
15.6212	-3.1288	ind_5921	fs18_5	cEuropeBaltic
15.6377	-3.0905	ind_5950	fs18_5	cEuropeBaltic
15.7642	-3.3317	ind_5984	fs18_5	cEuropeBaltic
16.3603	-3.2175	ind_5993	fs18_5	cEuropeBaltic
16.3349	-2.7862	ind_6008	fs18_5	cEuropeBaltic
19.6754	0.0528	ind_6009	fs5_11	northSweden
19.5359	-0.2234	ind_6011	fs5_11	northSweden
19.6975	0.2806	ind_6012	fs5_11	northSweden
19.0337	-0.1383	ind_6016	fs5_11	northSweden
19.1243	-0.2328	ind_6017	fs5_11	northSweden
16.3597	0.0869	ind_6019	fs15_12	olandGotland
16.5207	0.2733	ind_6020	fs15_12	olandGotland
16.1666	0.3090	ind_6021	fs15_12	olandGotland
16.1708	0.3450	ind_6022	fs15_12	olandGotland
20.7410	3.6456	ind_6024	fs14_1	westScania
17.8504	0.2300	ind_6030	fs5_6	northSweden
16.5939	2.9226	ind_6034	fs14_3	westScania
15.7567	3.0045	ind_6036	fs15_17	nE_EScania
15.9611	2.9450	ind_6038	fs15_17	nE_EScania
14.6749	1.1223	ind_6039	fs15_6	olandGotland
20.7154	3.5147	ind_6040	fs14_1	westScania
14.8479	1.6330	ind_6041	fs15_6	olandGotland
14.7352	-0.2643	ind_6042	fs15_7	olandGotland
18.0782	0.6600	ind_6043	fs5_2	northSweden
18.1859	0.5043	ind_6046	fs5_2	northSweden
19.2981	0.0487	ind_6064	fs5_8	northSweden
19.1899	-0.5005	ind_6069	fs5_8	northSweden
19.4622	-1.2328	ind_6071	fs5_9	northSweden
15.4905	0.2589	ind_6073	fs15_5	olandGotland
16.3636	1.1730	ind_6074	fs15_10	olandGotland
17.4459	3.2942	ind_6076	fs15_18	malmoLund
20.5412	3.6717	ind_6077	fs14_1	westScania
17.8333	4.6082	ind_6085	fs15_18	malmoLund
16.1210	1.9179	ind_6086	fs15_8	olandGotland
16.0456	0.5896	ind_6087	fs15_5	olandGotland
15.6110	0.8104	ind_6088	fs15_5	olandGotland
17.3440	3.5769	ind_6090	fs15_18	malmoLund
17.4175	3.2382	ind_6092	fs15_18	malmoLund
15.9531	1.7207	ind_6094	fs15_2	olandGotland
17.6026	4.0329	ind_6095	fs15_18	malmoLund
17.3891	3.8047	ind_6096	fs15_18	malmoLund
16.1693	2.3146	ind_6098	fs15_2	olandGotland
16.1352	2.1415	ind_6099	fs15_2	olandGotland
17.4840	3.5303	ind_6100	fs15_18	malmoLund
17.1325	3.2753	ind_6101	fs15_2	olandGotland
17.3751	3.1986	ind_6102	fs15_18	malmoLund
20.8522	3.7948	ind_6104	fs14_1	westScania
16.1995	2.1348	ind_6105	fs15_16	olandGotland
17.7776	4.5441	ind_6106	fs15_18	malmoLund
18.1719	4.6641	ind_6107	fs15_18	malmoLund
17.9513	4.1660	ind_6109	fs15_18	malmoLund
17.3994	3.3472	ind_6111	fs15_18	malmoLund
17.7132	3.7313	ind_6112	fs15_18	malmoLund
17.4415	4.1002	ind_6113	fs15_18	malmoLund
18.1221	4.5114	ind_6114	fs15_18	malmoLund
17.9440	4.6630	ind_6115	fs15_18	malmoLund
20.8714	3.8124	ind_6118	fs14_1	westScania
17.5322	3.4609	ind_6119	fs15_18	malmoLund
20.0927	3.7169	ind_6122	fs14_1	westScania
17.7458	4.2851	ind_6123	fs15_18	malmoLund
17.8226	4.1491	ind_6124	fs15_18	malmoLund
20.0450	3.5356	ind_6125	fs14_1	westScania
18.0064	4.6862	ind_6126	fs15_18	malmoLund
19.3728	3.7455	ind_6131	fs14_2	westScania
19.0028	3.4698	ind_6132	fs14_2	westScania
19.4034	3.6972	ind_6133	fs14_2	westScania
17.9426	4.6909	ind_6134	fs15_18	malmoLund
20.1992	3.9157	ind_6136	fs14_1	westScania
18.9950	3.5509	ind_6138	fs14_2	westScania
19.9707	3.8269	ind_6140	fs14_1	westScania
17.5890	4.1887	ind_6141	fs15_18	malmoLund
20.1794	3.4348	ind_6142	fs14_1	westScania
20.6941	3.5143	ind_6145	fs14_1	westScania
19.7607	3.3619	ind_6149	fs14_1	westScania
20.1104	3.5410	ind_6150	fs14_1	westScania
15.1222	2.1530	ind_6151	fs15_2	olandGotland
17.6658	0.8996	ind_6153	fs5_1	northSweden
17.5805	1.0790	ind_6154	fs5_1	northSweden
18.0065	1.0303	ind_6163	fs5_1	northSweden
17.7457	1.1852	ind_6166	fs5_1	northSweden
19.1721	-0.4304	ind_6169	fs5_10	northSweden
19.0236	-0.7516	ind_6172	fs5_10	northSweden
18.8208	-0.6461	ind_6173	fs5_10	northSweden
17.9326	0.3298	ind_6177	fs5_5	northSweden
12.5673	2.3167	ind_6180	fs16_12	nGermany
15.3015	2.5488	ind_6189	fs15_15	nE_EScania
15.2333	2.2083	ind_6191	fs15_15	nE_EScania
15.3417	2.8586	ind_6192	fs15_15	nE_EScania
15.4064	2.7262	ind_6193	fs15_15	nE_EScania
15.9565	0.8139	ind_6194	fs15_14	olandGotland
15.1448	1.1882	ind_6195	fs15_15	nE_EScania
15.1769	1.8065	ind_6198	fs15_15	nE_EScania
16.0859	-0.0475	ind_6201	fs15_14	olandGotland
16.2888	-0.1190	ind_6202	fs15_14	olandGotland
15.5245	2.2987	ind_6203	fs15_17	nE_EScania
19.7015	0.1822	ind_6209	fs5_11	northSweden
19.7175	0.0366	ind_6210	fs5_11	northSweden
19.0982	0.7684	ind_6216	fs5_12	northSweden
19.2492	0.9960	ind_6217	fs5_12	northSweden
19.5332	0.6493	ind_6218	fs5_12	northSweden
17.9768	0.5285	ind_6220	fs5_6	northSweden
19.0860	-0.3617	ind_6221	fs5_10	northSweden
19.0522	-0.1754	ind_6231	fs5_8	northSweden
19.9867	-0.8913	ind_6235	fs5_9	northSweden
19.4780	-0.7539	ind_6237	fs5_9	northSweden
19.6793	-1.0394	ind_6238	fs5_9	northSweden
19.7148	-0.6769	ind_6240	fs5_9	northSweden
19.7061	-0.7518	ind_6241	fs5_9	northSweden
16.9632	2.9442	ind_6242	fs15_18	malmoLund
14.4360	-0.7763	ind_6243	fs18_3	cEuropeBaltic
19.0627	-0.9714	ind_6244	fs5_9	northSweden
18.0661	2.0175	ind_6252	fs15_19	sEScania
18.0775	2.1881	ind_6255	fs15_19	sEScania
16.9056	1.7611	ind_6258	fs15_11	olandGotland
18.0412	2.1072	ind_6268	fs15_19	sEScania
18.1608	2.0029	ind_6276	fs15_19	sEScania
15.5560	-2.6495	ind_6296	fs18_4	cEuropeBaltic
14.7993	-2.4757	ind_6390	fs18_4	cEuropeBaltic
15.7551	-3.2327	ind_6396	fs18_4	cEuropeBaltic
16.5743	-0.2726	ind_6413	fs15_12	olandGotland
15.4651	-2.9225	ind_6424	fs18_5	cEuropeBaltic
14.4644	0.4955	ind_6434	fs16_12	nGermany
15.6349	-3.3908	ind_6445	fs18_5	cEuropeBaltic
13.2025	11.8888	ind_6739	USA	USA
12.9062	12.1407	ind_6740	USA	USA
13.2740	5.8025	ind_6744	USA	USA
11.9394	11.7372	ind_6749	USA	USA
11.8578	11.8282	ind_6750	USA	USA
12.3742	11.9752	ind_6805	USA	USA
12.3180	11.6911	ind_6806	USA	USA
14.4945	11.1699	ind_6814	USA	USA
14.0222	0.6126	ind_6830	fs16_12	nGermany
11.1965	3.1914	ind_6897	fs1_3	wNCFrance
12.3143	4.0324	ind_6898	fs3_3	britishIsles2
17.8101	0.5343	ind_6900	fs5_1	northSweden
17.9304	0.2040	ind_6901	fs5_1	northSweden
15.5377	-2.7202	ind_6903	fs18_5	cEuropeBaltic
10.8732	1.4602	ind_6904	fs17_11	cSouthItaly
11.6364	4.6650	ind_6908	fs3_11	uFranceEFranceBIsles
13.0086	2.0806	ind_6909	USA	USA
9.7451	-0.2985	ind_6911	fs12_1	relictsFs12
19.7475	-0.5311	ind_6913	fs5_11	northSweden
12.8129	2.3191	ind_6915	fs16_10	nGermany
19.1331	0.6271	ind_6917	fs5_12	northSweden
19.4261	0.8585	ind_6918	fs5_12	northSweden
14.1747	-0.8028	ind_6919	fs18_11	cEuropeBaltic
14.9230	2.8753	ind_6920	fs16_6	olandGotland
12.8426	2.2257	ind_6922	fs16_1	nGermany
10.4351	5.3134	ind_6924	fs4_3	britishIsles1
11.7766	5.6422	ind_6926	USA	USA
14.4348	11.1262	ind_6927	USA	USA
13.0354	-4.3515	ind_6931	fs6_3	russiaAsia
14.0619	0.3907	ind_6932	fs16_12	nGermany
5.0085	0.1519	ind_6933	fs10_1	barcelona
13.2737	-2.6950	ind_6938	fs6_6	russiaAsia
12.7951	1.9411	ind_6940	fs16_1	nGermany
10.4010	5.7760	ind_6943	fs4_3	britishIsles1
10.0722	5.1866	ind_6944	fs4_2	britishIsles1
13.8161	3.3631	ind_6945	fs16_5	nGermany
15.0580	-2.3150	ind_6951	fs18_6	cEuropeBaltic
14.9439	-2.2955	ind_6957	fs18_1	cEuropeBaltic
10.7918	2.9658	ind_6958	fs1_1	wNCFrance
10.8989	4.1892	ind_6959	fs3_4	britishIsles2
10.9606	4.5595	ind_6960	fs3_4	britishIsles2
11.3067	-4.5095	ind_6963	fs6_12	russiaAsia
10.0588	5.5569	ind_6966	fs4_1	britishIsles1
13.1376	4.4929	ind_6967	fs3_2	britishIsles2
17.6134	0.4822	ind_6968	fs5_3	northSweden
17.5374	0.6545	ind_6969	fs5_3	northSweden
5.2529	0.5457	ind_6970	fs10_1	barcelona
5.0708	0.1384	ind_6971	fs10_1	barcelona
14.2901	3.3046	ind_6973	fs16_3	nGermany
16.4346	0.3108	ind_6974	fs15_12	olandGotland
15.0636	-1.5447	ind_6975	fs18_2	cEuropeBaltic
15.0567	-1.5006	ind_6976	fs18_2	cEuropeBaltic
9.5461	2.9029	ind_6979	fs19_1	sGermany
13.6970	1.5028	ind_6981	fs18_13	nGermany
13.1107	2.8869	ind_6982	fs16_9	nGermany
16.0525	-3.4991	ind_6984	fs18_5	cEuropeBaltic
8.9484	5.9109	ind_6986	fs4_5	britishIsles1
10.8287	2.3097	ind_6987	fs16_13	sGermany
10.3175	5.3842	ind_6989	fs4_1	britishIsles1
14.5769	-0.3705	ind_6990	fs15_7	olandGotland
10.4114	2.5461	ind_6992	fs19_1	sGermany
14.0951	3.5317	ind_6997	fs16_4	nGermany
13.4926	2.8757	ind_7000	fs16_2	nGermany
13.5286	3.4945	ind_7002	fs16_5	nGermany
10.5151	2.5744	ind_7003	fs19_1	sGermany
14.8725	0.4767	ind_7013	fs15_6	olandGotland
12.7013	2.9571	ind_7014	fs16_9	nGermany
13.5115	-0.5118	ind_7025	fs18_11	cEuropeBaltic
11.0493	4.3832	ind_7026	fs3_5	britishIsles2
13.7860	2.2672	ind_7028	fs16_4	nGermany
12.2867	2.0047	ind_7031	fs16_1	nGermany
13.4742	11.2023	ind_7033	USA	USA
13.1708	2.5593	ind_7036	fs16_1	nGermany
15.0030	2.6360	ind_7058	fs16_8	nGermany
14.8200	2.4720	ind_7061	fs16_8	nGermany
8.5411	0.5402	ind_7063	fs12_1	relictsFs12
9.9539	5.5320	ind_7064	fs4_4	britishIsles1
13.8644	-1.7173	ind_7067	fs18_8	nGermany
10.7484	0.7374	ind_7068	fs17_11	cSouthItaly
11.1403	3.5825	ind_7071	fs1_3	wNCFrance
13.2142	-2.4460	ind_7072	fs6_6	russiaAsia
10.5906	-0.7419	ind_7077	fs17_9	cSouthItaly
8.4038	0.9460	ind_7081	fs7_2	centralSpain1
10.8209	5.3648	ind_7092	fs3_15	uFranceEFranceBIsles
12.0792	2.1185	ind_7094	fs16_3	nGermany
14.3930	0.5642	ind_7096	fs16_12	nGermany
16.0729	-2.6066	ind_7103	fs18_5	cEuropeBaltic
14.4588	-0.7815	ind_7106	fs18_3	cEuropeBaltic
-4.1307	-0.1826	ind_7107	fs3_9	nWEngland
9.0203	6.2744	ind_7109	fs4_5	britishIsles1
13.4797	3.8920	ind_7111	fs3_1	britishIsles2
12.0451	2.3059	ind_7119	fs16_13	sGermany
13.5392	-2.0272	ind_7120	fs18_8	nGermany
15.4602	0.6423	ind_7126	fs15_9	olandGotland
13.9158	-0.3402	ind_7127	fs3_17	nGermany
10.8581	2.5198	ind_7130	fs1_1	wNCFrance
13.3137	3.0834	ind_7133	fs16_2	nGermany
14.7562	2.8869	ind_7138	fs16_6	olandGotland
13.4570	3.5875	ind_7143	fs16_5	nGermany
