newGroup10_1	OhioMich2
newGroup1_1	Maryland2
newGroup11_1	OhioMich3
newGroup11_2	NewJerMich1
newGroup11_3	NewJerMich2
newGroup12_1	Connecticut1
newGroup12_2	Michigan2
newGroup14_1	NewJersey1
newGroup15_1	OhioNewJersey1
newGroup15_2	OhioNewJersey2
newGroup15_3	OhioNewJersey3
newGroup16_1	Ohio2
newGroup16_2	MidWestern1
newGroup17_1	Connecticut2
newGroup17_2	IndianaTerreHaute1
newGroup17_3	Connecticut3
newGroup18_1	OhioMich4
newGroup20_1	SouthIndiana1
newGroup2_1	Maryland3
newGroup22_1	Connecticut4
newGroup23_1	Ohio3
newGroup24_1	Ohio4
newGroup24_2	Ohio5
newGroup25_1	Ohio6
newGroup26_1	Ohio7
newGroup27_1	Ohio8
newGroup28_1	Ohio9
newGroup29_1	IndianaNewJersey1
newGroup3	Haplogroup1
newGroup30_1	SouthIndiana2
newGroup31_1	SouthIndiana3
newGroup34_1	SouthIndiana4
newGroup35	Michigan3
newGroup36	Southern1
newGroup37	LongIsland1
newGroup38	MichiganManistee1
newGroup39	RhodeIsland1
newGroup4_1	NewJersey2
newGroup4_2	NewJersey3
newGroup4_3	NewJersey4
newGroup5_1	NewJersey5
newGroup5_2	NewJersey6
newGroup5_3	NewJersey7
newGroup6_1	OhioMich5
newGroup6_2	OhioMich6
newGroup6_3	OhioMich7
newGroup7_1	Ohio10
newGroup8_1	OhioMich8
newGroup8_2	OhioMich9
newGroup8_3	OhioMich10
newGroup9_1	OhioMich11
newGroup9_2	OhioMich1
newGroupCol0	Col0
newGroupMAAA	Massachusetts1
newGroupMNF	MichiganManistee2
newGroupNYBG	NewYorkBG
newGroupOHOS	OhioOSU
newGroupRMX	Michigan4
