Position	Rate
2599	0.0264755
3418	1.9712213
3429	0.000303
74993	0.6776073
75025	0.1495409
75170	0.0546182
75567	0.0874332
75815	0.1330272
75978	0.0493928
76417	0.0265403
77234	2.7104293
77242	0.9856106
77264	0.3675158
77323	0.0863882
77574	1.8069528
77586	0.5042659
77629	1.1412334
77648	0.7744084
77676	0.1902056
77790	0.1389964
77946	0.1475064
78093	0.0477609
78547	0.0314253
79237	21.6834341
79238	2.1683434
79248	0.1806953
79368	1.2754961
79385	0.2644321
79467	0.5288642
79508	10.8417171
79510	0.3942443
79565	0.5860388
79602	0.9034764
79626	1.0325445
79647	2.1683434
79657	2.7104293
79665	1.8069528
79677	7.2278114
79680	5.4208585
79684	0.6570738
79717	7.2278114
79720	0.8673374
79745	0.0818243
80010	0.1748664
80134	0.3942443
80189	0.5559855
80228	0.1694018
80356	0.8030902
80383	3.6139057
80389	0.6570738
80422	0.3142527
80491	0.108962
80690	0.3613906
80750	0.6023176
80786	7.2278114
80789	0.6570738
80822	0.2550992
80907	4.3366868
80912	2.4092705
80921	3.6139057
80927	0.0981151
81148	0.0276928
81931	0.0530157
82340	1.0325445
82361	2.4092705
82370	1.9712213
82381	7.2278114
82384	0.2105188
82487	0.318874
82555	0.0853679
82809	1.0841717
82829	0.1398931
82984	0.1822137
83103	0.3054005
83174	0.3497328
83236	0.0643425
83573	2.7104293
83581	0.0850331
83836	0.1330272
83999	21.6834341
84000	0.5860388
84037	0.0830783
84298	0.0874332
84546	0.3142527
84615	0.5559855
84654	0.318874
84722	0.3738523
84780	0.0281238
85551	0.1748664
85675	0.0501931
86107	0.0930619
86340	0.1853285
86457	0.1426542
86609	0.1630333
86742	0.3675158
86801	0.0575157
87178	2.7104293
87186	0.3335913
87251	0.2258691
87347	0.9856106
87369	0.3441815
87432	1.9712213
87443	0.0262511
88269	0.1571263
88407	1.4455623
88422	0.5420859
88462	0.0671314
88785	0.1559959
88924	0.1720907
89050	0.0417793
89569	0.4928053
89613	0.1306231
89779	0.1989306
89888	0.2744738
89967	0.0870821
90216	0.1495409
90361	0.1363738
90520	0.1417218
90673	0.1667956
90803	1.5488167
90817	0.1178448
91001	0.3872042
91057	0.0930619
91290	0.0885038
91535	1.5488167
91549	2.4092705
91558	0.1582732
91695	0.252133
91781	21.6834341
91782	0.1971221
91892	0.0785632
92168	0.0903476
92408	0.4336687
92458	0.0999237
92675	0.0489468
93118	0.2258691
93214	0.1191397
93396	0.4425191
93445	0.1355215
93605	0.7227811
93635	0.1559959
93774	0.4818541
93819	0.6023176
93855	1.1412334
93874	0.8339782
93900	0.138111
94057	0.1475064
94204	0.0959444
94430	0.2710429
94510	0.0860454
94762	0.1111971
94957	0.0999237
95174	0.1806953
95294	0.1314148
95459	0.6570738
95492	0.1667956
95622	0.252133
95708	0.6377481
95742	0.1147272
95931	0.0641522
96269	0.4041263
96323	0.3831973
96381	0.274569
96463	0.5360633
96505	2.2726652
96515	0.157824
96659	0.025848
97540	1.3491488
97564	1.8668925
97588	3.0819764
97606	4.7194914
97620	0.5318394
97774	3.1904286
97803	0.4934794
98025	15.6798332
98033	0.1010639
99477	0.6119331
99716	0.7820964
99903	24.3753371
99909	11.2501556
99922	73.1260114
99924	18.2815028
99932	24.3753371
99938	8.1251124
99956	8.6030602
99973	20.8931461
99980	48.7506743
99983	16.2502248
99992	13.2956384
100003	146.2520228
100004	146.2520228
100005	29.2504046
100010	73.1260114
100012	1.1890408
100135	2.0312781
100207	0.4795148
100512	0.2668833
101060	3.4012098
101103	0.4314219
101442	14.6252023
101452	1.6250225
101542	3.9527574
101579	0.8653966
101748	0.9621844
101900	13.2956384
101911	2.3589036
101973	0.8216406
102151	2.1195945
102220	2.9250405
102270	36.5630057
102274	16.2502248
102283	2.2500311
102348	2.2851879
102412	0.5603526
102673	0.6303966
102905	9.7501349
102920	1.1700162
103045	0.397424
103413	2.3214607
103476	9.7501349
103491	1.2290086
103610	1.4480398
103711	0.689868
103923	3.482191
103965	36.5630057
103969	5.0431732
103998	1.2394239
104116	6.0938343
104140	12.1876686
104152	2.2159397
104218	4.8750674
104248	1.5234586
104344	0.1706558
105201	4.1786292
105236	6.964382
105257	2.2500311
105322	36.5630057
105326	1.9763787
105400	0.5518944
105665	0.6386551
105894	2.4375337
105954	1.0372484
106095	0.513165
106380	13.2956384
106391	4.8750674
106421	73.1260114
106423	2.3589036
106485	29.2504046
106490	20.8931461
106497	1.3668413
106604	8.6030602
106621	4.1786292
106656	4.4318795
106689	2.182866
106756	4.8750674
106786	24.3753371
106792	146.2520228
106793	36.5630057
106797	36.5630057
106801	9.7501349
106816	2.0598876
106887	2.9250405
106937	9.7501349
106952	7.3126011
106972	3.8487374
107010	3.0469171
107058	0.2878977
107566	0.2135066
108251	6.6478192
108273	9.7501349
108288	146.2520228
108289	4.8750674
108319	0.7386466
108517	0.6964382
108727	3.482191
108769	0.0176953
117034	0.6770927
117250	5.2232865
117278	1.3797361
117384	2.8125389
117436	2.8676867
117487	0.5436878
117756	1.3928764
117861	4.4318795
117894	1.0017262
118040	3.6563006
118080	0.2219302
118739	1.950027
118814	1.7835613
118896	0.6170971
119133	1.2086944
119254	73.1260114
119256	2.150765
119324	1.1607303
119450	2.0893146
119520	0.6068549
119761	18.2815028
119769	2.6591277
119824	12.1876686
119836	3.4012098
119879	0.5993935
120123	1.3175858
120234	0.1238374
121415	1.0086346
121560	4.7178072
121591	2.565825
121648	16.2502248
121657	0.368393
122054	29.2504046
122059	13.2956384
122070	12.1391016
122082	9.686836
122097	72.5310665
122099	0.5679845
122353	0.9449303
122489	40.5885971
122491	0.1935506
122640	0.4238982
122680	0.0532588
122820	0.022354
123022	0.5973085
123025	0.0015935
123533	0.0094129
123619	0.8095136
123620	0.0024457
123951	0.0038548
124161	0.001787
124614	0.0124541
124679	0.0052566
124833	0.0158728
124884	7.74e-05
135341	0.1619027
135346	0.023129
